Model,Var,mean,sd,SID
C1,C1_b0,0.7206251109899966,0.00349857765193792,DroCAN
C1,C1_bg,0.00718222523457742,0.01633244570519847,DroCAN
C1,C1_sigma,0.08758858452897557,0.00171670741714912,DroCAN
C2,C2_b0,0.06164071144006071,0.01442053616866389,DroCAN
C2,C2_bg,-0.04381376413913186,0.06812364166444386,DroCAN
C2,C2_sigma,0.1831726681371788,0.0092327367326549,DroCAN
PC1,PC1_b0,2.189203789259784,0.13052598357327858,DroCAN
PC1,PC1_bd15,-0.32141053808456793,0.18299206749801616,DroCAN
PC1,PC1_bd30,-0.5498569125599231,0.19005154953305217,DroCAN
PC1,PC1_bg,4.54382721140301e-5,0.09935424961362892,DroCAN
PZ,PZ_b0,-1.69478705414685,0.17640630641203903,DroCAN
PZ,PZ_bd15,-0.31897757037636637,0.4428368065083031,DroCAN
PZ,PZ_bd30,-0.7000587726252075,0.33633183903187364,DroCAN
PZ,PZ_bg,-0.00157137078980308,0.09660319345006756,DroCAN
C1,C1_b0,0.7180446683251569,0.01007257217574159,RamARG
C1,C1_bg,7.363701801015523e-4,0.05922220090194399,RamARG
C1,C1_sigma,0.10323136802712976,0.00620499647412936,RamARG
C2,C2_b0,-0.04158640019486834,0.05372558100834038,RamARG
C2,C2_bg,0.05366476058181761,0.09706104196478108,RamARG
C2,C2_sigma,0.3066059705361527,0.03999746919906664,RamARG
PC1,PC1_b0,1.927652927020923,0.38084469896598544,RamARG
PC1,PC1_bd15,-0.29338343990300314,0.39267828208817257,RamARG
PC1,PC1_bd30,-0.452329382894662,0.45997393740022785,RamARG
PC1,PC1_bg,-0.00527908521071183,0.10154285835235242,RamARG
PZ,PZ_b0,-1.6727451740667358,0.3104524226848273,RamARG
PZ,PZ_bd15,-0.872126897831113,0.4735345570527986,RamARG
PZ,PZ_bd30,-0.00718944842687348,0.41060387920288904,RamARG
PZ,PZ_bg,-0.00154285231607693,0.097987609175161125,RamARG
C1,C1_b0,0.6121397167776091,0.02032816499261733,RamCRI
C1,C1_bg,0.06558967188356601,0.06389982135118737,RamCRI
C1,C1_sigma,0.10368585310344784,0.01012092083670617,RamCRI
C2,C2_b0,-0.09528969731784866,0.05331613856478466,RamCRI
C2,C2_bg,-0.02870298290572752,0.10360035255953598,RamCRI
C2,C2_sigma,0.18835655865286152,0.04369224662059905,RamCRI
PC1,PC1_b0,2.0363120181861536,0.4472266654918622,RamCRI
PC1,PC1_bd15,-0.997416752545654,0.6659423414415159,RamCRI
PC1,PC1_bd30,-1.0421052629270102,0.5867366859514492,RamCRI
PC1,PC1_bg,0.0018670757632269,0.09776156178685064,RamCRI
PZ,PZ_b0,-7.12329671210073,2.38361824816118,RamCRI
PZ,PZ_bd15,-0.0015225696332182,0.9821749894376712,RamCRI
PZ,PZ_bd30,-0.09171301785636624,0.9711738020626212,RamCRI
PZ,PZ_bg,-5.325528281235968e-4,0.09987091211026942,RamCRI
C1,C1_b0,0.6872878261227308,0.00811554368604095,RamKOR
